id,genres
0,crime drama thriller
1,drama
2,adventure
3,drama history
4,crime thriller
5,thriller
6,drama
7,drama
8,drama
9,drama
10,drama
11,drama fantasy
12,horror
13,thriller
14,drama thriller
15,adventure drama
16,drama
17,drama
18,thriller
19,drama
20,drama
21,thriller
22,comedy
23,drama
24,drama
25,drama
26,comedy drama
27,comedy
28,romance
29,drama
30,comedy
31,drama
32,thriller
33,crime
34,drama
35,drama
36,drama
37,crime thriller
38,crime drama
39,thriller
40,crime drama
41,action drama
42,drama romance
43,drama thriller
44,drama sci-fi
45,drama
46,adventure drama
47,drama
48,music
49,drama
50,thriller
51,drama thriller
52,drama
53,drama
54,drama romance
55,crime drama
56,action
57,drama
58,drama
59,drama
60,drama thriller
61,crime thriller
62,drama
63,drama
64,thriller
65,drama thriller
66,drama
67,drama
68,drama
69,thriller
70,drama
71,action thriller
72,drama
73,drama mystery romance
74,biography drama
75,action drama
76,drama
77,drama
78,thriller
79,drama
80,comedy crime drama
81,romance
82,fantasy
83,crime thriller
84,comedy drama romance
85,drama sci-fi
86,romance
87,drama
88,comedy thriller
89,thriller
90,thriller
91,action comedy crime
92,action adventure thriller
93,drama thriller
94,thriller
95,drama
96,drama
97,drama
98,action
99,comedy drama
100,drama thriller
101,drama
102,sci-fi thriller
103,thriller
104,crime thriller
105,comedy
106,drama thriller
107,action adventure fantasy thriller
108,comedy drama romance
109,drama romance
110,comedy
111,crime
112,drama
113,drama
114,drama
115,drama
116,drama
117,drama
118,crime mystery thriller
119,drama
120,drama thriller
121,drama
122,thriller
123,comedy
124,drama
125,comedy
126,drama
127,comedy
128,drama
129,drama
130,drama thriller
131,drama thriller
132,drama
133,adventure drama war
134,drama thriller
135,drama
136,drama
137,comedy
138,thriller
139,drama thriller
140,action
141,crime drama thriller
142,crime drama
143,action adventure
144,mystery thriller
145,drama
146,adventure comedy family
147,action
148,drama
149,sci-fi thriller
150,drama
151,action comedy
152,drama
153,romance
154,thriller
155,crime thriller
156,action thriller
157,action drama
158,mystery thriller
159,action
160,drama
161,drama
162,drama
163,comedy
164,mystery thriller
165,drama thriller
166,action thriller
167,drama romance
168,drama thriller
169,thriller
170,thriller
171,adventure romance
172,thriller
173,drama
174,comedy
175,drama
176,comedy
177,mystery thriller
178,drama
179,drama thriller
180,drama
181,drama
182,action romance
183,comedy drama western
184,action crime thriller
185,comedy
186,biography crime
187,action drama romance war
188,drama
189,crime drama
190,drama
191,comedy
192,drama
193,action thriller
194,action
195,drama
196,drama
197,comedy
198,thriller
199,action drama
200,drama
201,drama
202,drama thriller
203,drama thriller
204,drama
205,drama
206,drama history
207,drama
208,drama
209,action thriller
210,drama
211,drama
212,drama
213,thriller
214,drama history thriller
215,drama romance
216,comedy
217,drama
218,action
219,thriller
220,drama
221,comedy thriller
222,drama
223,drama thriller
224,drama
225,drama
226,drama
227,adventure mystery thriller
228,drama
229,drama
230,romance thriller
231,drama
232,drama thriller
233,drama thriller
234,drama
235,animation drama
236,drama
237,action drama thriller
238,crime
239,drama thriller
240,drama
241,action crime thriller
242,crime drama
243,drama
244,drama thriller
245,thriller
246,drama mystery thriller
247,thriller
248,drama romance
249,drama
250,drama music
251,comedy drama
252,comedy drama
253,crime drama
254,comedy thriller
255,drama
256,thriller
257,drama
258,sci-fi thriller
259,family
260,drama
261,drama
262,drama thriller
263,drama
264,comedy sci-fi
265,drama war
266,drama thriller
267,drama
268,drama mystery romance
269,comedy drama
270,crime
271,drama romance
272,drama
273,comedy thriller
274,thriller
275,animation comedy drama
276,drama western
277,drama thriller
278,drama
279,drama
280,action drama
281,drama
282,drama
283,drama
284,mystery thriller
285,drama
286,comedy drama
287,thriller
288,comedy drama
289,thriller
290,sport thriller
291,drama
292,crime drama
293,action thriller
294,drama
295,drama
296,adventure
297,drama
298,drama
299,thriller
300,drama thriller
301,romance
302,drama
303,thriller
304,drama
305,drama
306,drama
307,thriller
308,drama
309,romance thriller
310,crime thriller
311,drama
312,adventure horror thriller
313,thriller
314,drama
315,drama
316,thriller
317,crime drama
318,drama
319,thriller
320,drama
321,drama
322,drama
323,drama romance
324,drama
325,drama
326,drama
327,romance thriller
328,drama romance thriller
329,drama
330,comedy drama
331,crime drama
332,drama mystery thriller
333,drama thriller
334,crime
335,comedy drama
336,drama
337,comedy drama romance
338,biography comedy drama
339,drama
340,drama
341,crime drama
342,biography drama
343,thriller
344,comedy drama
345,drama
346,action thriller
347,crime thriller
348,drama
349,drama
350,sci-fi
351,comedy
352,drama
353,comedy drama music
354,crime thriller
355,crime sci-fi thriller
356,thriller
357,drama
358,drama thriller
359,drama romance war
360,crime drama
361,drama
362,drama thriller
363,drama thriller
364,action thriller war
365,drama
366,crime
367,drama
368,drama
369,comedy thriller
370,horror thriller
371,drama thriller
372,comedy crime
373,drama
374,drama romance
375,drama romance
376,crime
377,drama thriller
378,animation drama
379,comedy
380,drama
381,drama thriller western
382,comedy crime drama
383,drama thriller
384,thriller
385,drama
386,action drama
387,comedy drama
388,drama
389,thriller
390,drama
391,drama
392,drama romance
393,drama musical
394,crime
395,action thriller
396,crime drama thriller
397,crime thriller
398,comedy drama
399,thriller
400,drama
401,thriller
402,drama
403,drama romance
404,drama
405,comedy
406,drama
407,action war
408,drama romance
409,adventure crime sci-fi
410,drama
411,comedy
412,action crime
413,thriller
414,drama
415,drama
416,drama
417,drama
418,drama
419,horror
420,drama
421,adventure romance sci-fi
422,drama
423,war
424,crime drama
425,thriller
426,crime drama
427,drama
428,comedy thriller
429,drama
430,comedy
431,drama
432,drama
433,comedy drama musical
434,drama
435,drama
436,drama
437,drama
438,drama
439,drama
440,drama
441,action comedy
442,horror
443,drama thriller
444,drama
445,drama
446,drama
447,drama
448,comedy drama thriller
449,comedy romance
450,thriller
451,drama
452,comedy drama
453,horror
454,horror thriller
455,adventure drama
456,comedy crime thriller
457,comedy sport thriller
458,drama
459,comedy drama
460,drama western
461,mystery thriller
462,thriller
463,drama
464,drama thriller
465,romance thriller
466,mystery thriller
467,crime
468,drama
469,drama
470,drama romance
471,sci-fi
472,drama
473,comedy thriller
474,drama
475,drama
476,thriller
477,drama
478,drama
479,drama
480,thriller
481,drama
482,crime thriller
483,thriller
484,drama thriller
485,drama
486,thriller
487,comedy drama thriller
488,action comedy
489,drama thriller
490,drama
491,drama
492,drama
493,drama
494,drama
495,action drama romance thriller
496,drama
497,drama romance
498,drama
499,drama thriller
500,drama romance thriller
501,comedy
502,drama
503,thriller
504,drama
505,drama
506,crime drama thriller
507,drama
508,drama thriller
509,drama thriller
510,drama
511,drama
512,drama
513,drama
514,action
515,drama
516,biography drama
517,thriller
518,thriller
519,drama
520,drama
521,drama
522,drama
523,drama
524,drama
525,drama
526,drama mystery thriller
527,drama
528,drama
529,drama
530,drama
531,action
532,drama
533,drama
534,action drama
535,action adventure sci-fi thriller
536,musical
537,mystery
538,comedy drama
539,crime
540,comedy
541,thriller
542,romance sci-fi
543,drama
544,comedy
545,drama
546,thriller
547,drama
548,comedy
549,adventure crime sci-fi thriller
550,sci-fi
551,drama romance
552,drama
553,drama
554,drama
555,comedy
556,comedy romance
557,drama
558,drama
559,crime drama
560,drama
561,crime thriller
562,action drama mystery
563,drama thriller
564,action drama
565,drama
566,thriller western
567,drama thriller
568,crime thriller
569,drama
570,drama
571,thriller
572,drama history
573,action crime thriller
574,thriller
575,crime thriller
576,crime
577,thriller
578,drama
579,drama
580,sci-fi
581,animation drama
582,drama
583,biography drama
584,drama
585,drama
586,action comedy crime mystery thriller
587,drama
588,drama
589,drama thriller
590,comedy thriller
591,action family thriller
592,drama
